username,tweet_text_element
Seema Rizvi,"Uber Package
Swiggy Genie"
Kushagra Oberoi,"Amazon : Send Rs.1 To Anyone Via UPI 5 Times & Get Cashback Offers.

Offer Link : https://amzn.clnk.in/ipxj

UPI Link : http://amzn.in/5pDkjs5

Unlocked Cashback Offers -

1) Flat Rs.50 Cashback On Swiggy (Min. Rs.199)

2) Flat Rs.50 CB ON BookmyShow (Min.199)"
PNKV,"Uber Package
Swiggy Genie"
NEETIN,"I used to think Zomato/Swiggy can easily compete against Grab/Gojek/Bolt/Wolt but I take back my word. They can't compete on after-sales support/customer delight or satisfaction. Grab in BKK >>>>>>>> Zomato Gold in BLR. Disappointedly crying in 
@zomato"
DissectFinance,just spent last 30mins calculating how much i spent on swiggy last year and iys 94243 now i know why my mom says there's food at home
AD,"Uber Package
Swiggy Genie"
aree_shuklajii,"Amazon : Send Rs.1 To Anyone Via UPI 5 Times & Get Cashback Offers.

Offer Link : https://amzn.clnk.in/ipxj

UPI Link : http://amzn.in/5pDkjs5

Unlocked Cashback Offers -

1) Flat Rs.50 Cashback On Swiggy (Min. Rs.199)

2) Flat Rs.50 CB ON BookmyShow (Min.199)"
Entrackr,"I used to think Zomato/Swiggy can easily compete against Grab/Gojek/Bolt/Wolt but I take back my word. They can't compete on after-sales support/customer delight or satisfaction. Grab in BKK >>>>>>>> Zomato Gold in BLR. Disappointedly crying in 
@zomato"
PNKV,"Happy Anniversary.  Both of you. Shaad Raho. Aabaad raho. 

Kahan tum Swiggy se order karne lage.  Should have relaxed & asked HIM to cook for a change "
Meena..,"Uber Package
Swiggy Genie"
Mister J. - مسٹر جے,"This is the other information of that person
Please help me with this 
@Swiggy
 @SwiggyCares
 @SwiggyInstamart"
Dr. SWAYAM,"Uber Package
Swiggy Genie"
RantWithGrace,"Happy Anniversary.  Both of you. Shaad Raho. Aabaad raho. 

Kahan tum Swiggy se order karne lage.  Should have relaxed & asked HIM to cook for a change "
Sravya,"Uber Package
Swiggy Genie"
SR ⁶⁹,just spent last 30mins calculating how much i spent on swiggy last year and iys 94243 now i know why my mom says there's food at home
𝕾𝖍𝖆𝖗𝖎𝖖𝖚𝖊 Nomani,"Uber Package
Swiggy Genie"
Vedant Pratap Singh Jadon,"Uber Package
Swiggy Genie"
