username,tweet_text_element
ratnoo sid,"Can someone tell me why there is egg in veg box 
@SwiggyCares
 @Swiggy"
Priyanka Sachar,"ordered from 
@Swiggy
 after a whole year and it's so so good!!! So much attention to detail! I went back between screens multiple times just to look again at these cute animations.. 

Also Bangalore's fastest order was delivered in 1 min 13 seconds! "
RT,"So on 
@Swiggy
 this is what you order and this is what you get. 4 pieces instead of 6."
Sameer kumar Kollimarlaᅠ,"ordered from 
@Swiggy
 after a whole year and it's so so good!!! So much attention to detail! I went back between screens multiple times just to look again at these cute animations.. 

Also Bangalore's fastest order was delivered in 1 min 13 seconds! "
Inni Chauhan,"So on 
@Swiggy
 this is what you order and this is what you get. 4 pieces instead of 6."
may,"Can someone tell me why there is egg in veg box 
@SwiggyCares
 @Swiggy"
ratnoo sid,"So on 
@Swiggy
 this is what you order and this is what you get. 4 pieces instead of 6."
aishh,"Can someone tell me why there is egg in veg box 
@SwiggyCares
 @Swiggy"
D,"ordered from 
@Swiggy
 after a whole year and it's so so good!!! So much attention to detail! I went back between screens multiple times just to look again at these cute animations.. 

Also Bangalore's fastest order was delivered in 1 min 13 seconds! "
Senthil Kumaran,"Can someone tell me why there is egg in veg box 
@SwiggyCares
 @Swiggy"
may,"So on 
@Swiggy
 this is what you order and this is what you get. 4 pieces instead of 6."
Mehul Fanawala,"Can someone tell me why there is egg in veg box 
@SwiggyCares
 @Swiggy"
@aalaspun_,"Hello Delhi folks, BONOMI cold coffee now available at all Burgerama outlets on Swiggy and Zomato. :)"
Aristocrat,"Can someone tell me why there is egg in veg box 
@SwiggyCares
 @Swiggy"
Salma Shaik,"ordered from 
@Swiggy
 after a whole year and it's so so good!!! So much attention to detail! I went back between screens multiple times just to look again at these cute animations.. 

Also Bangalore's fastest order was delivered in 1 min 13 seconds! "
Yash Singh Tomar,"Can someone tell me why there is egg in veg box 
@SwiggyCares
 @Swiggy"
Triyansha,"ordered from 
@Swiggy
 after a whole year and it's so so good!!! So much attention to detail! I went back between screens multiple times just to look again at these cute animations.. 

Also Bangalore's fastest order was delivered in 1 min 13 seconds! "
Senthil Kumaran,"So on 
@Swiggy
 this is what you order and this is what you get. 4 pieces instead of 6."
flop era,"Can someone tell me why there is egg in veg box 
@SwiggyCares
 @Swiggy"
Aristocrat,"So on 
@Swiggy
 this is what you order and this is what you get. 4 pieces instead of 6."
Bhavika,"So on 
@Swiggy
 this is what you order and this is what you get. 4 pieces instead of 6."
Inni Chauhan,"Can someone tell me why there is egg in veg box 
@SwiggyCares
 @Swiggy"
Sunderdeep - Volklub,"ordered from 
@Swiggy
 after a whole year and it's so so good!!! So much attention to detail! I went back between screens multiple times just to look again at these cute animations.. 

Also Bangalore's fastest order was delivered in 1 min 13 seconds! "
Vardhman Jain,"Hello Delhi folks, BONOMI cold coffee now available at all Burgerama outlets on Swiggy and Zomato. :)"
Raja Babu,"Hello Delhi folks, BONOMI cold coffee now available at all Burgerama outlets on Swiggy and Zomato. :)"
