username,tweet_text_element
Kishen Das,"Thanks for being there 
@Swiggy
 @thetanmay"
D I N A K A R - Modi Ka Parivar.,"Thanks for being there 
@Swiggy
 @thetanmay"
subiii,"How do I make it so that every time I open my swiggy or zepto, I get this picture stopping me"
Premium,Man this new swiggy update is crazy!
Sowmya R,"Thanks for being there 
@Swiggy
 @thetanmay"
sanidhya somani,"Thanks for being there 
@Swiggy
 @thetanmay"
Premium,"Thanks for being there 
@Swiggy
 @thetanmay"
Shrishti,"Thanks for being there 
@Swiggy
 @thetanmay"
Gagandeep Singh,Man this new swiggy update is crazy!
Dr. Batman (Eugene Lazowski Fan Account),not this swiggy guy in chennai passing by a big ass croc on the road like it's nothing 
mishti,not this swiggy guy in chennai passing by a big ass croc on the road like it's nothing 
Urvisha Jain,not this swiggy guy in chennai passing by a big ass croc on the road like it's nothing 
Arka Bhattacharjee,"Thanks for being there 
@Swiggy
 @thetanmay"
Divya,not this swiggy guy in chennai passing by a big ass croc on the road like it's nothing 
Sangeetha Kandavel,"How do I make it so that every time I open my swiggy or zepto, I get this picture stopping me"
subiii,"Thanks for being there 
@Swiggy
 @thetanmay"
Krazy Panda,"How do I make it so that every time I open my swiggy or zepto, I get this picture stopping me"
Kishen Das,"How do I make it so that every time I open my swiggy or zepto, I get this picture stopping me"
RuaanRuaan,"How do I make it so that every time I open my swiggy or zepto, I get this picture stopping me"
josh,not this swiggy guy in chennai passing by a big ass croc on the road like it's nothing 
sanidhya somani,"How do I make it so that every time I open my swiggy or zepto, I get this picture stopping me"
Sangeetha Kandavel,"Thanks for being there 
@Swiggy
 @thetanmay"
Chandra R. Srikanth,not this swiggy guy in chennai passing by a big ass croc on the road like it's nothing 
Bojack Boredman,"Thanks for being there 
@Swiggy
 @thetanmay"
Samvardhan,Man this new swiggy update is crazy!
Krazy Panda,"Thanks for being there 
@Swiggy
 @thetanmay"
