username,tweet_text_element
Shreela Roy," #swiggyignores 
@Swiggy
 @SwiggyCares
  it's been 3days and no resolution has been done yet? Where's your assurance of resolution within 48 hrs gone? ‍ 
@aaraynsh
  @Adv_pcsharma
  let this reach to masses so that customer can be prevented from these frauds."
Varun Dubey,"born to tweet, forced to do ghar ka kaam."
Sonu Vivek,"born to tweet, forced to do ghar ka kaam."
Dhriti sharma," #swiggyignores 
@Swiggy
 @SwiggyCares
  it's been 3days and no resolution has been done yet? Where's your assurance of resolution within 48 hrs gone? ‍ 
@aaraynsh
  @Adv_pcsharma
  let this reach to masses so that customer can be prevented from these frauds."
TIMES NOW," #swiggyignores 
@Swiggy
 @SwiggyCares
  it's been 3days and no resolution has been done yet? Where's your assurance of resolution within 48 hrs gone? ‍ 
@aaraynsh
  @Adv_pcsharma
  let this reach to masses so that customer can be prevented from these frauds."
Moneycontrol,"born to tweet, forced to do ghar ka kaam."
PappaRoti Srinagar,"Hey 
@Swiggy
 random request, make him Day . Location - kanpur"
Kunal Kamra,"Hey 
@Swiggy
 random request, make him Day . Location - kanpur"
Maahi,"Lifetime FREE Axis Myzone Credit Card

Apply : https://bitli.in/zFiuj80

Benefits

Get Complimentary SonyLiv Premium Annual Subscription of Rs 999

Flat Rs 120 Off on Swiggy on minimum order of Rs 500 applicable twice a month (Max discount Upto Rs 240 per month)"
Swiggy Genie,"Lifetime FREE Axis Myzone Credit Card

Apply : https://bitli.in/zFiuj80

Benefits

Get Complimentary SonyLiv Premium Annual Subscription of Rs 999

Flat Rs 120 Off on Swiggy on minimum order of Rs 500 applicable twice a month (Max discount Upto Rs 240 per month)"
www.odolp.in,"Lifetime FREE Axis Myzone Credit Card

Apply : https://bitli.in/zFiuj80

Benefits

Get Complimentary SonyLiv Premium Annual Subscription of Rs 999

Flat Rs 120 Off on Swiggy on minimum order of Rs 500 applicable twice a month (Max discount Upto Rs 240 per month)"
chunky funky basic monké,"born to tweet, forced to do ghar ka kaam."
Akhila,"born to tweet, forced to do ghar ka kaam."
DealBee Deals,"born to tweet, forced to do ghar ka kaam."
Manish M. Nagori," #swiggyignores 
@Swiggy
 @SwiggyCares
  it's been 3days and no resolution has been done yet? Where's your assurance of resolution within 48 hrs gone? ‍ 
@aaraynsh
  @Adv_pcsharma
  let this reach to masses so that customer can be prevented from these frauds."
Tushar Agrawal," #swiggyignores 
@Swiggy
 @SwiggyCares
  it's been 3days and no resolution has been done yet? Where's your assurance of resolution within 48 hrs gone? ‍ 
@aaraynsh
  @Adv_pcsharma
  let this reach to masses so that customer can be prevented from these frauds."
Aniketh Shetty," #swiggyignores 
@Swiggy
 @SwiggyCares
  it's been 3days and no resolution has been done yet? Where's your assurance of resolution within 48 hrs gone? ‍ 
@aaraynsh
  @Adv_pcsharma
  let this reach to masses so that customer can be prevented from these frauds."
Sonu Vivek,"Lifetime FREE Axis Myzone Credit Card

Apply : https://bitli.in/zFiuj80

Benefits

Get Complimentary SonyLiv Premium Annual Subscription of Rs 999

Flat Rs 120 Off on Swiggy on minimum order of Rs 500 applicable twice a month (Max discount Upto Rs 240 per month)"
Finessse Interactive,"born to tweet, forced to do ghar ka kaam."
Wellu,"Hey 
@Swiggy
 random request, make him Day . Location - kanpur"
Moneycontrol,"Lifetime FREE Axis Myzone Credit Card

Apply : https://bitli.in/zFiuj80

Benefits

Get Complimentary SonyLiv Premium Annual Subscription of Rs 999

Flat Rs 120 Off on Swiggy on minimum order of Rs 500 applicable twice a month (Max discount Upto Rs 240 per month)"
Akhila,"Lifetime FREE Axis Myzone Credit Card

Apply : https://bitli.in/zFiuj80

Benefits

Get Complimentary SonyLiv Premium Annual Subscription of Rs 999

Flat Rs 120 Off on Swiggy on minimum order of Rs 500 applicable twice a month (Max discount Upto Rs 240 per month)"
Swiggy Genie,"born to tweet, forced to do ghar ka kaam."
