day,zomato_sentiment,dunzo_sentiment
01-02-2024,0.1803193548387097,-0.36630625000000006
02-01-2024,0.14891666666666667,0.5423
02-03-2024,0.58059375,-0.05135
03-02-2024,0.03312857142857144,0.0
04-01-2024,0.213875,
04-03-2024,0.22991999999999999,0.5605269230769232
05-02-2024,0.27700714285714284,0.2065875
05-12-2023,0.23074800000000004,-0.2154738095238096
06-01-2024,-0.2853,0.4347919999999999
06-03-2024,0.0,0.0012310344827586345
07-02-2024,0.10775384615384617,0.2349285714285714
07-12-2023,0.10676060606060607,-0.22133750000000002
08-01-2024,0.0,-0.1009823529411765
08-03-2024,0.4700666666666667,0.22875909090909088
09-02-2024,0.11753571428571429,0.2603962962962963
09-12-2023,0.034676923076923084,0.34090833333333337
10-01-2024,0.2983875,0.1704782608695652
10-03-2024,0.004738461538461538,0.16467391304347825
11-02-2024,0.20674285714285714,-0.1342891891891892
11-12-2023,0.29664999999999997,-0.20525151515151516
12-01-2024,0.5443562500000001,0.2672782608695652
12-03-2024,0.22661428571428568,0.2733470588235294
13-02-2024,0.3355066666666667,0.1336111111111111
13-12-2023,0.2832909090909091,-0.22349761904761906
14-01-2024,0.04870769230769229,0.5941105263157895
14-03-2024,0.04710769230769231,0.07223076923076922
15-02-2024,0.2099818181818182,0.19437692307692303
15-12-2023,0.5109750000000001,-0.021251612903225806
16-01-2024,0.530705,0.3201166666666666
17-02-2024,0.3078166666666667,0.4171857142857143
17-12-2023,0.06924390243902438,0.12714583333333332
18-01-2024,0.2039111111111111,0.0
19-02-2024,0.35300624999999997,0.20144130434782603
19-12-2023,0.4457916666666667,0.25640434782608695
20-01-2024,0.33247333333333334,0.0
21-02-2024,0.577425,0.5167249999999999
21-12-2023,0.11747605633802817,-0.016394871794871795
22-01-2024,0.059294117647058824,0.0
23-02-2024,0.3773833333333334,
23-12-2023,-0.017606451612903234,-0.4111533333333333
24-01-2024,0.2948916666666667,0.0
25-02-2024,0.14997142857142862,
25-12-2023,-0.07950344827586206,-0.20185555555555557
26-01-2024,-0.017617241379310342,0.25254499999999996
27-02-2024,0.269525,0.05678620689655174
27-12-2023,0.2958727272727273,-0.151537037037037
28-01-2024,0.3966375,0.5826
29-02-2024,0.027571428571428573,-0.10238499999999999
29-12-2023,0.338890243902439,0.08053157894736843
30-01-2024,0.31518918918918915,0.04567567567567567
31-12-2023,0.44896,0.16697083333333332
