day,apple_sentiment,oppo_sentiment
01-02-2024,0.3365326086956522,0.22478163265306123
02-01-2024,0.07994166666666667,
02-03-2024,0.2231453125,
03-02-2024,0.325548,0.2957869565217391
04-01-2024,0.42684324324324324,
04-03-2024,0.14279166666666668,
05-02-2024,0.17944339622641514,0.31802830188679243
05-12-2023,0.18969111111111114,
06-01-2024,0.3855693877551021,
06-03-2024,0.12593347826086956,
07-02-2024,0.111453488372093,0.3233431818181818
07-12-2023,0.18498571428571425,
08-01-2024,0.29096000000000005,
08-03-2024,0.43321923076923075,
09-02-2024,0.1138578947368421,0.46667708333333335
09-12-2023,0.3672956521739131,0.24332075471698114
10-01-2024,0.17825409836065573,
10-03-2024,0.08887397260273973,
11-02-2024,0.1722790697674419,0.42044528301886785
11-12-2023,0.10366153846153846,0.33903043478260864
12-01-2024,0.0,
12-03-2024,0.15386574074074075,
13-02-2024,0.2528689655172414,0.27655254237288135
13-12-2023,-0.11851428571428568,0.303572972972973
14-01-2024,-0.124828125,
14-03-2024,0.2761244444444445,
15-02-2024,0.16783999999999996,0.263058064516129
15-12-2023,0.07015263157894737,0.027317021276595736
16-01-2024,-0.049565789473684216,
17-02-2024,-0.14764883720930233,
17-12-2023,-0.01589607843137255,0.4141161290322581
18-01-2024,0.19584489795918367,
19-02-2024,0.031224999999999996,
19-12-2023,0.18538035714285717,0.1603362068965517
20-01-2024,-0.10546666666666665,
21-02-2024,0.26509302325581396,
21-12-2023,0.46312999999999993,0.07562105263157894
22-01-2024,0.13950000000000004,
23-02-2024,0.03168285714285714,
23-12-2023,0.3515363636363637,0.5085062499999999
24-01-2024,0.08025675675675674,
25-02-2024,0.26639,
25-12-2023,0.36112244897959184,0.5106260869565218
26-01-2024,0.061149999999999975,
27-02-2024,0.21446610169491523,
27-12-2023,0.07649814814814813,
28-01-2024,0.05878723404255318,
29-02-2024,0.016113846153846152,
29-12-2023,0.042810909090909094,
30-01-2024,0.38261764705882356,0.3878744680851064
31-12-2023,0.2671636363636364,
