day,vivo_sentiment,samsung_sentiment
01-02-2024,-0.06323636363636363,0.22761276595744687
02-01-2024,0.41291052631578945,0.39529411764705885
02-03-2024,-0.24703124999999998,0.5890525
03-02-2024,0.47169999999999995,0.3796058823529412
04-01-2024,0.3858609756097561,0.20100571428571432
04-03-2024,,0.1814468926553672
05-02-2024,0.24767741935483875,0.4881882352941176
05-12-2023,0.5036807692307692,0.2957947368421053
06-01-2024,0.44612826086956525,0.48759375
06-03-2024,0.49456481481481485,0.3209931818181818
07-02-2024,0.23699166666666668,0.059392105263157906
07-12-2023,0.140435,-0.05634583333333332
08-01-2024,0.37554545454545457,0.35964878048780485
08-03-2024,-0.0012474999999999904,0.2282831168831169
09-02-2024,0.3387264705882353,0.5045913043478263
09-12-2023,0.036127083333333344,0.036127083333333344
10-01-2024,0.5783172413793104,0.09417647058823529
10-03-2024,0.22697066666666668,0.20640621118012423
11-02-2024,0.26826666666666665,0.3094232558139535
11-12-2023,0.5904447368421052,0.5904447368421052
12-01-2024,0.22813333333333338,0.3851909090909091
12-03-2024,0.19303706896551723,0.2231377049180328
13-02-2024,0.3316103448275862,0.42288
13-12-2023,0.25134615384615383,0.25134615384615383
14-01-2024,,0.289904347826087
14-03-2024,0.23733382352941176,0.3788977777777778
15-02-2024,0.21913111111111105,0.4336315789473685
15-12-2023,0.019947500000000017,0.019947500000000017
16-01-2024,0.351203448275862,0.351203448275862
17-02-2024,0.3252645161290323,0.16273513513513513
17-12-2023,0.1284311111111111,0.1284311111111111
18-01-2024,0.24404464285714284,0.24404464285714284
19-02-2024,0.37747499999999995,0.22200344827586208
19-12-2023,0.22273513513513515,0.22273513513513515
20-01-2024,0.24835675675675675,0.24835675675675675
21-02-2024,0.10340731707317076,0.09362499999999999
21-12-2023,0.32875,0.32875
22-01-2024,,0.23436800000000002
23-02-2024,0.43337999999999993,0.19155471698113205
23-12-2023,0.30688461538461537,0.30688461538461537
24-01-2024,,0.39540377358490564
25-02-2024,-0.12668,0.2911833333333333
25-12-2023,0.5116872340425532,0.5116872340425532
26-01-2024,,0.19839999999999997
27-02-2024,0.4353877551020408,0.17808000000000002
27-12-2023,0.10701714285714287,0.1305
28-01-2024,0.2594918918918919,0.14546136363636364
29-02-2024,0.3025393939393939,-0.05615294117647058
29-12-2023,0.07152352941176471,0.06616511627906976
30-01-2024,0.1920861111111111,0.2102885714285714
31-12-2023,0.7518,0.32832954545454546
