day,apple_sentiment,samsung_sentiment
01-02-2024,0.3365326086956522,0.22761276595744687
02-01-2024,0.07994166666666667,0.39529411764705885
02-03-2024,0.2231453125,0.5890525
03-02-2024,0.325548,0.3796058823529412
04-01-2024,0.42684324324324324,0.20100571428571432
04-03-2024,0.14279166666666668,0.1814468926553672
05-02-2024,0.17944339622641514,0.4881882352941176
05-12-2023,0.18969111111111114,0.2957947368421053
06-01-2024,0.3855693877551021,0.48759375
06-03-2024,0.12593347826086956,0.3209931818181818
07-02-2024,0.111453488372093,0.059392105263157906
07-12-2023,0.18498571428571425,-0.05634583333333332
08-01-2024,0.29096000000000005,0.35964878048780485
08-03-2024,0.43321923076923075,0.2282831168831169
09-02-2024,0.1138578947368421,0.5045913043478263
09-12-2023,0.3672956521739131,0.036127083333333344
10-01-2024,0.17825409836065573,0.09417647058823529
10-03-2024,0.08887397260273973,0.20640621118012423
11-02-2024,0.1722790697674419,0.3094232558139535
11-12-2023,0.10366153846153846,0.5904447368421052
12-01-2024,0.0,0.3851909090909091
12-03-2024,0.15386574074074075,0.2231377049180328
13-02-2024,0.2528689655172414,0.42288
13-12-2023,-0.11851428571428568,0.25134615384615383
14-01-2024,-0.124828125,0.289904347826087
14-03-2024,0.2761244444444445,0.3788977777777778
15-02-2024,0.16783999999999996,0.4336315789473685
15-12-2023,0.07015263157894737,0.019947500000000017
16-01-2024,-0.049565789473684216,0.351203448275862
17-02-2024,-0.14764883720930233,0.16273513513513513
17-12-2023,-0.01589607843137255,0.1284311111111111
18-01-2024,0.19584489795918367,0.24404464285714284
19-02-2024,0.031224999999999996,0.22200344827586208
19-12-2023,0.18538035714285717,0.22273513513513515
20-01-2024,-0.10546666666666665,0.24835675675675675
21-02-2024,0.26509302325581396,0.09362499999999999
21-12-2023,0.46312999999999993,0.32875
22-01-2024,0.13950000000000004,0.23436800000000002
23-02-2024,0.03168285714285714,0.19155471698113205
23-12-2023,0.3515363636363637,0.30688461538461537
24-01-2024,0.08025675675675674,0.39540377358490564
25-02-2024,0.26639,0.2911833333333333
25-12-2023,0.36112244897959184,0.5116872340425532
26-01-2024,0.061149999999999975,0.19839999999999997
27-02-2024,0.21446610169491523,0.17808000000000002
27-12-2023,0.07649814814814813,0.1305
28-01-2024,0.05878723404255318,0.14546136363636364
29-02-2024,0.016113846153846152,-0.05615294117647058
29-12-2023,0.042810909090909094,0.06616511627906976
30-01-2024,0.38261764705882356,0.2102885714285714
31-12-2023,0.2671636363636364,0.32832954545454546
