day,xiaomi_sentiment,vivo_sentiment
01-02-2024,0.4653529411764706,-0.06323636363636363
01-03-2024,0.42504680851063836,
02-01-2024,,0.41291052631578945
02-03-2024,0.38016470588235296,-0.24703124999999998
03-02-2024,0.37721269841269844,0.47169999999999995
03-03-2024,0.3557847826086956,
04-01-2024,,0.3858609756097561
04-03-2024,0.34452115384615395,
05-02-2024,0.43167321428571437,0.24767741935483875
05-03-2024,,
05-12-2023,0.45310175438596495,0.5036807692307692
06-01-2024,,0.44612826086956525
06-03-2024,0.17861707317073172,0.49456481481481485
07-02-2024,0.1741076923076923,0.23699166666666668
07-03-2024,,
07-12-2023,0.0,0.140435
08-01-2024,,0.37554545454545457
08-03-2024,0.4432622222222223,-0.0012474999999999904
09-02-2024,0.3463016393442623,0.3387264705882353
09-12-2023,0.4683804347826087,0.036127083333333344
10-01-2024,0.30105,0.5783172413793104
10-03-2024,,0.22697066666666668
11-02-2024,0.17369454545454546,0.26826666666666665
11-03-2024,0.11566324324324326,
11-12-2023,0.3953844444444445,0.5904447368421052
12-01-2024,,0.22813333333333338
12-02-2024,,
12-03-2024,0.3303083333333333,0.19303706896551723
13-02-2024,0.4971288461538462,0.3316103448275862
13-03-2024,0.14951220930232562,
13-12-2023,,0.25134615384615383
14-01-2024,0.11769444444444445,
14-02-2024,,
14-03-2024,0.2803469387755102,0.23733382352941176
15-02-2024,0.5372521739130434,0.21913111111111105
15-12-2023,0.3294257575757576,0.019947500000000017
16-01-2024,0.4394119047619048,0.351203448275862
16-02-2024,,
17-02-2024,,0.3252645161290323
17-12-2023,0.43108235294117647,0.1284311111111111
18-01-2024,0.158082,0.24404464285714284
19-02-2024,,0.37747499999999995
19-12-2023,0.26763260869565225,0.22273513513513515
20-01-2024,,0.24835675675675675
20-02-2024,0.3292438596491228,
21-02-2024,0.1497931818181818,0.10340731707317076
21-12-2023,0.21707631578947365,0.32875
22-01-2024,,
22-02-2024,0.40286222222222234,
23-02-2024,0.3935717948717949,0.43337999999999993
23-12-2023,0.35423076923076924,0.30688461538461537
24-01-2024,,
24-02-2024,0.1326166666666667,
25-02-2024,0.3605566666666667,-0.12668
25-12-2023,,0.5116872340425532
26-01-2024,,
26-02-2024,0.31056153846153844,
27-02-2024,0.3183021276595745,0.4353877551020408
27-12-2023,0.114,0.10701714285714287
28-01-2024,0.3771714285714286,0.2594918918918919
28-02-2024,0.3019843137254902,
29-02-2024,0.24580263157894738,0.3025393939393939
29-12-2023,-0.1381016129032258,0.07152352941176471
30-01-2024,0.37135999999999997,0.1920861111111111
31-12-2023,0.3719729166666667,0.7518
