username,tweet_text_element
Video Game Art Archive,Hang on Jez on the Xbox two podcast is talking about Ori or another game going to PlayStation? Fucks sake man
Sultan FF7 REBIRTH HYPE,"Vintage original #Playstation console launch goodies from 
@Sony
 … the disc carrier is felt lined, so the discs won’t scratch & it carries 30 discs. The banner is original tapestry that hung in Electronics Boutique for the console launch in Sept. ‘95 
- Both given to me #JimmyPap"
dravszoo,"Jump!
'Driver 2'
PlayStation"
Bruno de Figueiredo,"Damn they are desperate for attention since their games died so fast. 

#SpiderMan2 
#PlayStation
#PlayStation5  https://x.com/insomniacgames/insomniacgames/status/1743370090526183900…"
RGG Studio,"Vintage original #Playstation console launch goodies from 
@Sony
 … the disc carrier is felt lined, so the discs won’t scratch & it carries 30 discs. The banner is original tapestry that hung in Electronics Boutique for the console launch in Sept. ‘95 
- Both given to me #JimmyPap"
Echo Apsey,"Vintage original #Playstation console launch goodies from 
@Sony
 … the disc carrier is felt lined, so the discs won’t scratch & it carries 30 discs. The banner is original tapestry that hung in Electronics Boutique for the console launch in Sept. ‘95 
- Both given to me #JimmyPap"
M i L o,If you have a PlayStation you don't wanna miss out on this opportunity!
Carn,Hang on Jez on the Xbox two podcast is talking about Ori or another game going to PlayStation? Fucks sake man
MWIII & Warzone,"Damn they are desperate for attention since their games died so fast. 

#SpiderMan2 
#PlayStation
#PlayStation5  https://x.com/insomniacgames/insomniacgames/status/1743370090526183900…"
Javy,"Damn they are desperate for attention since their games died so fast. 

#SpiderMan2 
#PlayStation
#PlayStation5  https://x.com/insomniacgames/insomniacgames/status/1743370090526183900…"
Xbox_Serious_X|S,"I just seen a post of a Playstation fan saying that Horizon Forbidden West is the best looking game to date

The top photo is me in the most photorealistic open world game to date staring off into the distance rethinking life because clearly this brotha has lost his composure "
Bruno de Figueiredo,"Vintage original #Playstation console launch goodies from 
@Sony
 … the disc carrier is felt lined, so the discs won’t scratch & it carries 30 discs. The banner is original tapestry that hung in Electronics Boutique for the console launch in Sept. ‘95 
- Both given to me #JimmyPap"
Rosshiro,"What’s the best PlayStation 2 game that has NO SEQUEL?

#PS2 #playstation2 #playstation #retrogaming #ps2sday"
Doodle - OnPoint! 4 Gamers on YT,"I just seen a post of a Playstation fan saying that Horizon Forbidden West is the best looking game to date

The top photo is me in the most photorealistic open world game to date staring off into the distance rethinking life because clearly this brotha has lost his composure "
AnaAnsan (Welcome ABK ),Hang on Jez on the Xbox two podcast is talking about Ori or another game going to PlayStation? Fucks sake man
JayWood2010,Hang on Jez on the Xbox two podcast is talking about Ori or another game going to PlayStation? Fucks sake man
WayForward,"PlayStation Fans Growing Worried Long-Awaited PS5 Game Is Never Coming Out:

https://comicbook.com/gaming/news/ps5-playstation-5-game-release-little-devil-inside/…"
dravszoo,"What’s the best PlayStation 2 game that has NO SEQUEL?

#PS2 #playstation2 #playstation #retrogaming #ps2sday"
Ironwood Studios | Pacific Drive is Available Now,➤ biohazard playstation v-jump strategy guidebook (1996)
Games with Names,➤ biohazard playstation v-jump strategy guidebook (1996)
PlayStation 2,"What’s the best PlayStation 2 game that has NO SEQUEL?

#PS2 #playstation2 #playstation #retrogaming #ps2sday"
PlayStation Universe,"Damn they are desperate for attention since their games died so fast. 

#SpiderMan2 
#PlayStation
#PlayStation5  https://x.com/insomniacgames/insomniacgames/status/1743370090526183900…"
𝐂𝐉™,"Vintage original #Playstation console launch goodies from 
@Sony
 … the disc carrier is felt lined, so the discs won’t scratch & it carries 30 discs. The banner is original tapestry that hung in Electronics Boutique for the console launch in Sept. ‘95 
- Both given to me #JimmyPap"
Koisy,"PlayStation Fans Growing Worried Long-Awaited PS5 Game Is Never Coming Out:

https://comicbook.com/gaming/news/ps5-playstation-5-game-release-little-devil-inside/…"
Javy,Hang on Jez on the Xbox two podcast is talking about Ori or another game going to PlayStation? Fucks sake man
MWIII & Warzone,Hang on Jez on the Xbox two podcast is talking about Ori or another game going to PlayStation? Fucks sake man
Push Square,"PlayStation Fans Growing Worried Long-Awaited PS5 Game Is Never Coming Out:

https://comicbook.com/gaming/news/ps5-playstation-5-game-release-little-devil-inside/…"
Razkaii,"Vintage original #Playstation console launch goodies from 
@Sony
 … the disc carrier is felt lined, so the discs won’t scratch & it carries 30 discs. The banner is original tapestry that hung in Electronics Boutique for the console launch in Sept. ‘95 
- Both given to me #JimmyPap"
£,➤ biohazard playstation v-jump strategy guidebook (1996)
Darrius Fears,"Jump!
'Driver 2'
PlayStation"
𝐂𝐉™,"I just seen a post of a Playstation fan saying that Horizon Forbidden West is the best looking game to date

The top photo is me in the most photorealistic open world game to date staring off into the distance rethinking life because clearly this brotha has lost his composure "
Xbox_Serious_X|S,If you have a PlayStation you don't wanna miss out on this opportunity!
Doodle - OnPoint! 4 Gamers on YT,If you have a PlayStation you don't wanna miss out on this opportunity!
Dom,"Vintage original #Playstation console launch goodies from 
@Sony
 … the disc carrier is felt lined, so the discs won’t scratch & it carries 30 discs. The banner is original tapestry that hung in Electronics Boutique for the console launch in Sept. ‘95 
- Both given to me #JimmyPap"
Sekai Project,"PlayStation Fans Growing Worried Long-Awaited PS5 Game Is Never Coming Out:

https://comicbook.com/gaming/news/ps5-playstation-5-game-release-little-devil-inside/…"
Erik Games,"Jump!
'Driver 2'
PlayStation"
fella,"Vintage original #Playstation console launch goodies from 
@Sony
 … the disc carrier is felt lined, so the discs won’t scratch & it carries 30 discs. The banner is original tapestry that hung in Electronics Boutique for the console launch in Sept. ‘95 
- Both given to me #JimmyPap"
𝕄E丅ᖇØℙ𝕝𝕖𝕩 GaminG,"Damn they are desperate for attention since their games died so fast. 

#SpiderMan2 
#PlayStation
#PlayStation5  https://x.com/insomniacgames/insomniacgames/status/1743370090526183900…"
Darrius Fears,"What’s the best PlayStation 2 game that has NO SEQUEL?

#PS2 #playstation2 #playstation #retrogaming #ps2sday"
LaazrGaming,"Vintage original #Playstation console launch goodies from 
@Sony
 … the disc carrier is felt lined, so the discs won’t scratch & it carries 30 discs. The banner is original tapestry that hung in Electronics Boutique for the console launch in Sept. ‘95 
- Both given to me #JimmyPap"
PlayStation Park,"Jump!
'Driver 2'
PlayStation"
𝐂𝐉™,If you have a PlayStation you don't wanna miss out on this opportunity!
the redfield archives,➤ biohazard playstation v-jump strategy guidebook (1996)
Jaqub Ajmal,"Vintage original #Playstation console launch goodies from 
@Sony
 … the disc carrier is felt lined, so the discs won’t scratch & it carries 30 discs. The banner is original tapestry that hung in Electronics Boutique for the console launch in Sept. ‘95 
- Both given to me #JimmyPap"
TeRex777,"Jump!
'Driver 2'
PlayStation"
Video Game Art Archive,"Damn they are desperate for attention since their games died so fast. 

#SpiderMan2 
#PlayStation
#PlayStation5  https://x.com/insomniacgames/insomniacgames/status/1743370090526183900…"
M i L o,"I just seen a post of a Playstation fan saying that Horizon Forbidden West is the best looking game to date

The top photo is me in the most photorealistic open world game to date staring off into the distance rethinking life because clearly this brotha has lost his composure "
PlayStation Park,"What’s the best PlayStation 2 game that has NO SEQUEL?

#PS2 #playstation2 #playstation #retrogaming #ps2sday"
J117,Hang on Jez on the Xbox two podcast is talking about Ori or another game going to PlayStation? Fucks sake man
Danielle Maycox,"Jump!
'Driver 2'
PlayStation"
Carn,"Damn they are desperate for attention since their games died so fast. 

#SpiderMan2 
#PlayStation
#PlayStation5  https://x.com/insomniacgames/insomniacgames/status/1743370090526183900…"
ComicBook NOW!,"PlayStation Fans Growing Worried Long-Awaited PS5 Game Is Never Coming Out:

https://comicbook.com/gaming/news/ps5-playstation-5-game-release-little-devil-inside/…"
AnaAnsan (Welcome ABK ),"Damn they are desperate for attention since their games died so fast. 

#SpiderMan2 
#PlayStation
#PlayStation5  https://x.com/insomniacgames/insomniacgames/status/1743370090526183900…"
Rosshiro,"Jump!
'Driver 2'
PlayStation"
JayWood2010,"Damn they are desperate for attention since their games died so fast. 

#SpiderMan2 
#PlayStation
#PlayStation5  https://x.com/insomniacgames/insomniacgames/status/1743370090526183900…"
Beast Of Truth,"I just seen a post of a Playstation fan saying that Horizon Forbidden West is the best looking game to date

The top photo is me in the most photorealistic open world game to date staring off into the distance rethinking life because clearly this brotha has lost his composure "
Luke's Awakening,"Vintage original #Playstation console launch goodies from 
@Sony
 … the disc carrier is felt lined, so the discs won’t scratch & it carries 30 discs. The banner is original tapestry that hung in Electronics Boutique for the console launch in Sept. ‘95 
- Both given to me #JimmyPap"
