username,tweet_text_element
Amogh,"Trend exists

Swiggy and Zomato :"
Ginniiii,But Zomato bro I'm straight 
طيبه خان,Zomato lo dine in offers
ＧｏＪｏˢᵉⁿᵖᵃⁱ᭄,Zomato lo dine in offers
Ginniiii,Zomato lo dine in offers
Rishikesh,But Zomato bro I'm straight 
Arya Soni,But Zomato bro I'm straight 
طيبه خان,But Zomato bro I'm straight 
ＧｏＪｏˢᵉⁿᵖᵃⁱ᭄,But Zomato bro I'm straight 
Emma,"Trend exists

Swiggy and Zomato :"
Rishikesh,Zomato lo dine in offers
పండు,Zomato lo dine in offers
tushR,"Trend exists

Swiggy and Zomato :"
Arya Soni,Zomato lo dine in offers
