username,tweet_text_element
archie,"I love how the founders of the delivery apps—Zomato, Blinkit, Swiggy, Zepto, and Dunzo—are going wild, sharing all their sales stats for tonight."
Sheikh Yerbouti,I am now a conscientious objector to anything having to do with the NFL. It used to be fun to watch but no longer. Dunzo.
Gigi (is back),Subscribe to Premium+ to go ad-free in For You.
Nick,Subscribe to Premium+ to go ad-free in For You.
Dani Romanoff,"I love how the founders of the delivery apps—Zomato, Blinkit, Swiggy, Zepto, and Dunzo—are going wild, sharing all their sales stats for tonight."
Offers & Deals By India Desire,Subscribe to Premium+ to go ad-free in For You.
CA Afzal Lokhandwala,"I love how the founders of the delivery apps—Zomato, Blinkit, Swiggy, Zepto, and Dunzo—are going wild, sharing all their sales stats for tonight."
Vikash Agarwal,Subscribe to Premium+ to go ad-free in For You.
Vikash Agarwal,"@dunzoit
, 
@jagograhakjago
 

It's been about more than three weeks and I am unable to locate the parcel and Dunzo has closed their two offices in Bangalore that I visited. Can consumer forum help me on this?"
Tina,"@dunzoit
, 
@jagograhakjago
 

It's been about more than three weeks and I am unable to locate the parcel and Dunzo has closed their two offices in Bangalore that I visited. Can consumer forum help me on this?"
Gigi (is back),"These fools sold their souls for TV time. Can you get any lower than these lying scumbags? I cannot wait until they are humiliated into oblivion and ridiculed in history books. 
@AlinaHabba
 will be a joke for decades. What a waste of an education, Alina your career is over. Dunzo."
JetBlack,Subscribe to Premium+ to go ad-free in For You.
JetBlack,"@dunzoit
, 
@jagograhakjago
 

It's been about more than three weeks and I am unable to locate the parcel and Dunzo has closed their two offices in Bangalore that I visited. Can consumer forum help me on this?"
Sai Venkatesh,"@dunzoit
, 
@jagograhakjago
 

It's been about more than three weeks and I am unable to locate the parcel and Dunzo has closed their two offices in Bangalore that I visited. Can consumer forum help me on this?"
Nick,"These fools sold their souls for TV time. Can you get any lower than these lying scumbags? I cannot wait until they are humiliated into oblivion and ridiculed in history books. 
@AlinaHabba
 will be a joke for decades. What a waste of an education, Alina your career is over. Dunzo."
Deanna,"@dunzoit
, 
@jagograhakjago
 

It's been about more than three weeks and I am unable to locate the parcel and Dunzo has closed their two offices in Bangalore that I visited. Can consumer forum help me on this?"
gwheezy,I am now a conscientious objector to anything having to do with the NFL. It used to be fun to watch but no longer. Dunzo.
Aneesh,"@dunzoit
, 
@jagograhakjago
 

It's been about more than three weeks and I am unable to locate the parcel and Dunzo has closed their two offices in Bangalore that I visited. Can consumer forum help me on this?"
Nani Puligadda,I am now a conscientious objector to anything having to do with the NFL. It used to be fun to watch but no longer. Dunzo.
Sanskar Jain,I am now a conscientious objector to anything having to do with the NFL. It used to be fun to watch but no longer. Dunzo.
Ashley Colley,Subscribe to Premium+ to go ad-free in For You.
,"@dunzoit
, 
@jagograhakjago
 

It's been about more than three weeks and I am unable to locate the parcel and Dunzo has closed their two offices in Bangalore that I visited. Can consumer forum help me on this?"
Anurag Kumar,I am now a conscientious objector to anything having to do with the NFL. It used to be fun to watch but no longer. Dunzo.
lucy mee,I am now a conscientious objector to anything having to do with the NFL. It used to be fun to watch but no longer. Dunzo.
Aadeesh,"@dunzoit
, 
@jagograhakjago
 

It's been about more than three weeks and I am unable to locate the parcel and Dunzo has closed their two offices in Bangalore that I visited. Can consumer forum help me on this?"
Premium,"@dunzoit
, 
@jagograhakjago
 

It's been about more than three weeks and I am unable to locate the parcel and Dunzo has closed their two offices in Bangalore that I visited. Can consumer forum help me on this?"
Premium,Subscribe to Premium+ to go ad-free in For You.
Tech dr. (Modi ka pariwar),"@dunzoit
, 
@jagograhakjago
 

It's been about more than three weeks and I am unable to locate the parcel and Dunzo has closed their two offices in Bangalore that I visited. Can consumer forum help me on this?"
Offers & Deals By India Desire,"These fools sold their souls for TV time. Can you get any lower than these lying scumbags? I cannot wait until they are humiliated into oblivion and ridiculed in history books. 
@AlinaHabba
 will be a joke for decades. What a waste of an education, Alina your career is over. Dunzo."
Vikash Agarwal,"These fools sold their souls for TV time. Can you get any lower than these lying scumbags? I cannot wait until they are humiliated into oblivion and ridiculed in history books. 
@AlinaHabba
 will be a joke for decades. What a waste of an education, Alina your career is over. Dunzo."
Art? Feh! Just a 5 second distraction on a screen!,"@dunzoit
, 
@jagograhakjago
 

It's been about more than three weeks and I am unable to locate the parcel and Dunzo has closed their two offices in Bangalore that I visited. Can consumer forum help me on this?"
Vadiraj Managoli,"@dunzoit
, 
@jagograhakjago
 

It's been about more than three weeks and I am unable to locate the parcel and Dunzo has closed their two offices in Bangalore that I visited. Can consumer forum help me on this?"
JetBlack,"These fools sold their souls for TV time. Can you get any lower than these lying scumbags? I cannot wait until they are humiliated into oblivion and ridiculed in history books. 
@AlinaHabba
 will be a joke for decades. What a waste of an education, Alina your career is over. Dunzo."
Matthew,I am now a conscientious objector to anything having to do with the NFL. It used to be fun to watch but no longer. Dunzo.
Definitely Not Sujay,"I love how the founders of the delivery apps—Zomato, Blinkit, Swiggy, Zepto, and Dunzo—are going wild, sharing all their sales stats for tonight."
Teja,"@dunzoit
, 
@jagograhakjago
 

It's been about more than three weeks and I am unable to locate the parcel and Dunzo has closed their two offices in Bangalore that I visited. Can consumer forum help me on this?"
Ashley Colley,"These fools sold their souls for TV time. Can you get any lower than these lying scumbags? I cannot wait until they are humiliated into oblivion and ridiculed in history books. 
@AlinaHabba
 will be a joke for decades. What a waste of an education, Alina your career is over. Dunzo."
