username,tweet_text_element
𝙎𝙖𝙩𝙞𝙨𝙝 𝙎𝙝𝙖𝙧𝙢𝙖,zomato what’s this behaviour?
idkman,zomato what’s this behaviour?
𝙎𝙖𝙩𝙞𝙨𝙝 𝙎𝙝𝙖𝙧𝙢𝙖,"HSBC on Zomato 

Buy with Target : ₹140
CMP: 117

𝐸𝑥𝑝𝑒𝑐𝑡𝑒𝑑 15% 𝑦𝑒𝑎𝑟𝑙𝑦 𝑔𝑟𝑜𝑤𝑡ℎ 𝑖𝑛 𝑓𝑜𝑜𝑑 𝑑𝑒𝑙𝑖𝑣𝑒𝑟𝑦 "
idkman,"HSBC on Zomato 

Buy with Target : ₹140
CMP: 117

𝐸𝑥𝑝𝑒𝑐𝑡𝑒𝑑 15% 𝑦𝑒𝑎𝑟𝑙𝑦 𝑔𝑟𝑜𝑤𝑡ℎ 𝑖𝑛 𝑓𝑜𝑜𝑑 𝑑𝑒𝑙𝑖𝑣𝑒𝑟𝑦 "
ayush agarwal,"Gained valuable insights from a conversation with 
@deepigoyal
 , Founder of 
@zomato
 , on avoiding common entrepreneurial pitfalls.
@valo_app
 @YourStoryCo
 #startup #TechsparksDelhi #TechSpark #TechSpark23 #Valo"
stickydelta,"Gained valuable insights from a conversation with 
@deepigoyal
 , Founder of 
@zomato
 , on avoiding common entrepreneurial pitfalls.
@valo_app
 @YourStoryCo
 #startup #TechsparksDelhi #TechSpark #TechSpark23 #Valo"
Nabeel Bhattacharya,"Gained valuable insights from a conversation with 
@deepigoyal
 , Founder of 
@zomato
 , on avoiding common entrepreneurial pitfalls.
@valo_app
 @YourStoryCo
 #startup #TechsparksDelhi #TechSpark #TechSpark23 #Valo"
D I N A K A R - Modi Ka Parivar.,"HSBC on Zomato 

Buy with Target : ₹140
CMP: 117

𝐸𝑥𝑝𝑒𝑐𝑡𝑒𝑑 15% 𝑦𝑒𝑎𝑟𝑙𝑦 𝑔𝑟𝑜𝑤𝑡ℎ 𝑖𝑛 𝑓𝑜𝑜𝑑 𝑑𝑒𝑙𝑖𝑣𝑒𝑟𝑦 "
𝑻𝒆𝒂𝒎 𝑻𝑰𝑱𝑶𝑹𝑰 (associated -Baiju & Bayer),"HSBC on Zomato 

Buy with Target : ₹140
CMP: 117

𝐸𝑥𝑝𝑒𝑐𝑡𝑒𝑑 15% 𝑦𝑒𝑎𝑟𝑙𝑦 𝑔𝑟𝑜𝑤𝑡ℎ 𝑖𝑛 𝑓𝑜𝑜𝑑 𝑑𝑒𝑙𝑖𝑣𝑒𝑟𝑦 "
stickydelta,"Dear 
@zomato
 and 
@zomatocare
 

Its been 23 days! Kab Sharm aaygi aapki team ko? 
@deepigoyal"
Nabeel Bhattacharya,"Dear 
@zomato
 and 
@zomatocare
 

Its been 23 days! Kab Sharm aaygi aapki team ko? 
@deepigoyal"
Viral Langaliya,"Gained valuable insights from a conversation with 
@deepigoyal
 , Founder of 
@zomato
 , on avoiding common entrepreneurial pitfalls.
@valo_app
 @YourStoryCo
 #startup #TechsparksDelhi #TechSpark #TechSpark23 #Valo"
Viral Langaliya,"Dear 
@zomato
 and 
@zomatocare
 

Its been 23 days! Kab Sharm aaygi aapki team ko? 
@deepigoyal"
𝙎𝙖𝙩𝙞𝙨𝙝 𝙎𝙝𝙖𝙧𝙢𝙖,"Gained valuable insights from a conversation with 
@deepigoyal
 , Founder of 
@zomato
 , on avoiding common entrepreneurial pitfalls.
@valo_app
 @YourStoryCo
 #startup #TechsparksDelhi #TechSpark #TechSpark23 #Valo"
𝙎𝙖𝙩𝙞𝙨𝙝 𝙎𝙝𝙖𝙧𝙢𝙖,"Dear 
@zomato
 and 
@zomatocare
 

Its been 23 days! Kab Sharm aaygi aapki team ko? 
@deepigoyal"
unnati,zomato what’s this behaviour?
unnati,"HSBC on Zomato 

Buy with Target : ₹140
CMP: 117

𝐸𝑥𝑝𝑒𝑐𝑡𝑒𝑑 15% 𝑦𝑒𝑎𝑟𝑙𝑦 𝑔𝑟𝑜𝑤𝑡ℎ 𝑖𝑛 𝑓𝑜𝑜𝑑 𝑑𝑒𝑙𝑖𝑣𝑒𝑟𝑦 "
zomato,opening its 6th branch in 2025
DealzTrendz,zomato what’s this behaviour?
Raj Yadav,"Gained valuable insights from a conversation with 
@deepigoyal
 , Founder of 
@zomato
 , on avoiding common entrepreneurial pitfalls.
@valo_app
 @YourStoryCo
 #startup #TechsparksDelhi #TechSpark #TechSpark23 #Valo"
निर्दयी,opening its 6th branch in 2025
CNBC-TV18,"Gained valuable insights from a conversation with 
@deepigoyal
 , Founder of 
@zomato
 , on avoiding common entrepreneurial pitfalls.
@valo_app
 @YourStoryCo
 #startup #TechsparksDelhi #TechSpark #TechSpark23 #Valo"
DealzTrendz,"HSBC on Zomato 

Buy with Target : ₹140
CMP: 117

𝐸𝑥𝑝𝑒𝑐𝑡𝑒𝑑 15% 𝑦𝑒𝑎𝑟𝑙𝑦 𝑔𝑟𝑜𝑤𝑡ℎ 𝑖𝑛 𝑓𝑜𝑜𝑑 𝑑𝑒𝑙𝑖𝑣𝑒𝑟𝑦 "
Aditya Joshi,opening its 6th branch in 2025
CNBC-TV18,"Dear 
@zomato
 and 
@zomatocare
 

Its been 23 days! Kab Sharm aaygi aapki team ko? 
@deepigoyal"
