username,tweet_text_element
Neha Nagar,"Water is the biggest threat to Coca Cola ~ Coca Cola 

Zomato & Swiggy are the biggest threat to mutual fund industry"" ~ Radhika Gupta. "
vi,"Thank you all who shared my tweet. 
@zomato
 called, apologised, and refunded. 
I also had a longish chat with the person called and they agreed to make necessary changes in their policy. 
I hope they keep their promise."
vi,"Me trying to move on
Meanwhile 
@zomato
:"
Kay,"Me trying to move on
Meanwhile 
@zomato
:"
Abhijit Majumder,"Thank you all who shared my tweet. 
@zomato
 called, apologised, and refunded. 
I also had a longish chat with the person called and they agreed to make necessary changes in their policy. 
I hope they keep their promise."
prii ✮,"Water is the biggest threat to Coca Cola ~ Coca Cola 

Zomato & Swiggy are the biggest threat to mutual fund industry"" ~ Radhika Gupta. "
AK_VidaaMuyarchi,"Thank you all who shared my tweet. 
@zomato
 called, apologised, and refunded. 
I also had a longish chat with the person called and they agreed to make necessary changes in their policy. 
I hope they keep their promise."
Abhijit Majumder,"Me trying to move on
Meanwhile 
@zomato
:"
Maninder Pabla,"Water is the biggest threat to Coca Cola ~ Coca Cola 

Zomato & Swiggy are the biggest threat to mutual fund industry"" ~ Radhika Gupta. "
AK_VidaaMuyarchi,"Me trying to move on
Meanwhile 
@zomato
:"
v,"Thank you all who shared my tweet. 
@zomato
 called, apologised, and refunded. 
I also had a longish chat with the person called and they agreed to make necessary changes in their policy. 
I hope they keep their promise."
v,"Me trying to move on
Meanwhile 
@zomato
:"
unnati,"Water is the biggest threat to Coca Cola ~ Coca Cola 

Zomato & Swiggy are the biggest threat to mutual fund industry"" ~ Radhika Gupta. "
