username,tweet_text_element
AoI Ventures,"Let the sweets of Makar Sankranti do their magic and fill our hearts with sweetness and love. 
#HappyMakarSankranti #MakarSankranti #मकरसंक्रांती
.
#wadeshwar #restaurant #pune #trendingnow #indianfood #indian #food #foodiegram #foodbloggers #hope #happiness #swiggy #zomato"
,What is this Zomato? 
RaNi Says,"Let the sweets of Makar Sankranti do their magic and fill our hearts with sweetness and love. 
#HappyMakarSankranti #MakarSankranti #मकरसंक्रांती
.
#wadeshwar #restaurant #pune #trendingnow #indianfood #indian #food #foodiegram #foodbloggers #hope #happiness #swiggy #zomato"
Purple (Modiji ka parivar),"Let the sweets of Makar Sankranti do their magic and fill our hearts with sweetness and love. 
#HappyMakarSankranti #MakarSankranti #मकरसंक्रांती
.
#wadeshwar #restaurant #pune #trendingnow #indianfood #indian #food #foodiegram #foodbloggers #hope #happiness #swiggy #zomato"
D.Shivsagar,What is this Zomato? 
Manish Mall,"#BulkDeals #TFCIL #Zomato 
More deals on NSE BSE Site
Manually Self Compiled Sorted

I don't include stocks that do NOT
fulfill my filters: Jobbing trading
Low MCAP, illiquid stocks
Low Value & Low volume stock
Different Filters depending on Stock"
Pilot rosters are unethical. Save Junglee.,What is this Zomato? 
Wadeshwar,"#BulkDeals #TFCIL #Zomato 
More deals on NSE BSE Site
Manually Self Compiled Sorted

I don't include stocks that do NOT
fulfill my filters: Jobbing trading
Low MCAP, illiquid stocks
Low Value & Low volume stock
Different Filters depending on Stock"
Purple (Modiji ka parivar),"#BulkDeals #TFCIL #Zomato 
More deals on NSE BSE Site
Manually Self Compiled Sorted

I don't include stocks that do NOT
fulfill my filters: Jobbing trading
Low MCAP, illiquid stocks
Low Value & Low volume stock
Different Filters depending on Stock"
Wadeshwar,"Let the sweets of Makar Sankranti do their magic and fill our hearts with sweetness and love. 
#HappyMakarSankranti #MakarSankranti #मकरसंक्रांती
.
#wadeshwar #restaurant #pune #trendingnow #indianfood #indian #food #foodiegram #foodbloggers #hope #happiness #swiggy #zomato"
Jane,What is this Zomato? 
AoI Ventures,"#BulkDeals #TFCIL #Zomato 
More deals on NSE BSE Site
Manually Self Compiled Sorted

I don't include stocks that do NOT
fulfill my filters: Jobbing trading
Low MCAP, illiquid stocks
Low Value & Low volume stock
Different Filters depending on Stock"
RaNi Says,"#BulkDeals #TFCIL #Zomato 
More deals on NSE BSE Site
Manually Self Compiled Sorted

I don't include stocks that do NOT
fulfill my filters: Jobbing trading
Low MCAP, illiquid stocks
Low Value & Low volume stock
Different Filters depending on Stock"
